symbol,date,open,high,low,close,adj_close,volume
XOM,2022-04-25,72.2538,72.5081,69.552,72.1573,72.1573,37698300
XOM,2022-04-26,72.5695,74.3151,72.0871,72.1836,72.1836,28941500
XOM,2022-04-27,73.1485,74.9818,72.1748,74.245,74.245,32773000
XOM,2022-04-28,74.4555,77.3151,73.745,76.4905,76.4905,33683800
XOM,2022-04-29,77.3151,77.3151,74.2976,74.78,74.78,34656500
XOM,2022-05-02,74.5695,76.3502,74.2362,75.7976,75.7976,36335200
XOM,2022-05-03,75.666,77.8765,75.5432,77.359,77.359,33908100
XOM,2022-05-04,78.5081,80.5958,77.9905,80.4379,80.4379,46188400
XOM,2022-05-05,80.7361,80.7449,77.5344,79.2186,79.2186,41013400
XOM,2022-05-06,79.8063,80.5431,78.3765,80.4291,80.4291,29619300
XOM,2022-05-09,78.4554,78.5607,73.7011,74.0871,74.0871,45851600
XOM,2022-05-10,75.1221,76.2186,73.2625,74.5783,74.5783,34483200
XOM,2022-05-11,75.8151,78.0169,75.6835,76.1309,76.1309,33020600
XOM,2022-05-12,76.1664,76.5474,73.9066,76.4765,76.4765,29491500
XOM,2022-05-13,77.4159,78.8249,76.5208,78.7451,78.7451,25798400
XOM,2022-05-16,78.8514,81.51,78.8426,80.5972,80.5972,26101200
XOM,2022-05-17,81.2884,81.9265,80.7479,81.6252,81.6252,23120700
XOM,2022-05-18,81.9796,82.343,79.6047,80.3314,80.3314,25451200
XOM,2022-05-19,78.8692,81.7935,78.8692,80.7656,80.7656,24387400
XOM,2022-05-20,81.4656,82.9367,80.1098,81.4036,81.4036,28795000
XOM,2022-05-23,82.1126,83.9824,82.0151,83.2025,83.2025,27239300
XOM,2022-05-24,82.2544,84.0001,81.8113,83.6545,83.6545,24293300
XOM,2022-05-25,83.814,85.542,83.7165,85.3382,85.3382,29947800
XOM,2022-05-26,85.6041,86.3396,85.2496,85.6395,85.6395,24314800
XOM,2022-05-27,85.0281,86.7827,84.452,86.4814,86.4814,25588800
XOM,2022-05-31,87.341,88.4221,84.8154,85.0724,85.0724,44888100
XOM,2022-06-01,85.9763,87.4739,85.6218,86.7029,86.7029,25815400
XOM,2022-06-02,86.2155,86.9333,85.7724,86.5523,86.5523,19089100
XOM,2022-06-03,86.7561,88.3158,86.7561,87.8106,87.8106,21038200
XOM,2022-06-06,87.8904,88.4221,87.4384,87.5891,87.5891,20682100
XOM,2022-06-07,88.3512,91.6566,88.1651,91.6034,91.6034,37810200
XOM,2022-06-08,91.7098,93.553,91.2578,92.6846,92.6846,31613200
XOM,2022-06-09,91.6477,92.6668,90.5312,90.6818,90.6818,26607000
XOM,2022-06-10,90.3362,91.5857,88.4309,89.0247,89.0247,30950500
XOM,2022-06-13,86.4193,86.6409,83.2291,84.9394,84.9394,33421000
XOM,2022-06-14,86.3219,87.4384,84.4254,85.161,85.161,31264000
XOM,2022-06-15,85.0635,85.5775,82.6531,84.0887,84.0887,29620800
XOM,2022-06-16,81.891,82.529,80.0035,80.9871,80.9871,35696700
XOM,2022-06-17,80.6061,80.9517,75.9094,76.317,76.317,64610200
XOM,2022-06-21,78.497,81.9973,78.4438,81.0669,81.0669,35951500
XOM,2022-06-22,77.5754,79.5426,77.5665,77.8589,77.8589,29727200
XOM,2022-06-23,78.5679,78.9135,74.013,75.5106,75.5106,35757200
XOM,2022-06-24,77.0525,78.3375,76.0423,77.0082,77.0082,26639000
XOM,2022-06-27,77.8146,79.7908,77.6906,78.8958,78.8958,25478700
XOM,2022-06-28,80.7479,82.6265,80.0655,81.0846,81.0846,33096900
XOM,2022-06-29,82.3961,82.5911,77.7703,78.0893,78.0893,25400900
XOM,2022-06-30,76.3347,77.6285,75.0321,75.8916,75.8916,39948100
XOM,2022-07-01,76.8664,77.8767,75.0675,77.5842,77.5842,26327900
XOM,2022-07-05,76.5119,76.831,73.561,75.1561,75.1561,34591100
XOM,2022-07-06,74.2256,75.5283,71.7887,73.8003,73.8003,33375700
XOM,2022-07-07,75.6612,76.8842,75.5903,76.1575,76.1575,23817400
XOM,2022-07-08,77.0525,77.3627,75.2625,76.2815,76.2815,17673800
XOM,2022-07-11,75.4751,76.317,74.7573,75.8916,75.8916,15603800
XOM,2022-07-12,74.2433,75.3688,73.4281,74.8814,74.8814,21013000
XOM,2022-07-13,73.8889,76.4854,73.818,75.1827,75.1827,19928600
XOM,2022-07-14,72.5331,73.8269,71.5051,73.6762,73.6762,26343000
XOM,2022-07-15,75.1473,75.2182,73.4635,74.9169,74.9169,17243700
XOM,2022-07-18,76.7246,77.9298,75.9891,76.2993,76.2993,19395800
XOM,2022-07-19,76.5829,78.4438,76.4322,78.2223,78.2223,18248900
XOM,2022-07-20,77.6108,79.4452,77.3184,79.0818,79.0818,16584400
XOM,2022-07-21,77.0348,77.8058,75.5106,77.7615,77.7615,21375700
XOM,2022-07-22,77.5842,78.3995,76.7689,77.1677,77.1677,15479500
